Date,Open,High,Low,Close,Adj Close,Volume
2019/12/2,252,260,252,256,247.807999,16200
2019/12/3,260,260,246,250,242,243600
2019/12/4,254,258,238,242,234.255997,386200
2019/12/5,242,250,212,216,209.087997,2242400
2019/12/6,216,228,194,199,192.632004,3254900
2019/12/9,200,204,170,182,176.175995,5629200
2019/12/10,172,186,172,180,174.240005,909600
2019/12/11,185,188,174,175,169.399994,1623500
2019/12/12,174,184,172,177,171.335999,1682400
2019/12/13,184,189,178,185,179.080002,1012600
2019/12/16,190,198,185,192,185.856003,662200
2019/12/17,192,196,190,193,186.824005,410300
2019/12/18,194,195,191,195,188.759995,224000
2019/12/19,195,250,195,240,232.319992,4554900
2019/12/20,240,242,218,234,226.511993,756300
2019/12/23,228,240,214,224,216.832001,872300
2019/12/26,224,224,210,216,209.087997,828200
2019/12/27,214,214,210,212,205.216003,1003300
2019/12/30,212,216,200,200,193.600006,2686300
2020/1/2,220,220,195,197,190.695999,682700
2020/1/3,197,216,196,210,203.279999,398800
2020/1/6,204,216,204,210,203.279999,431700
2020/1/7,212,228,210,214,207.151993,572900
2020/1/8,214,230,210,212,205.216003,1749900
2020/1/9,212,214,204,210,203.279999,313100
2020/1/10,210,214,206,208,201.343994,287300
2020/1/13,208,214,204,204,197.472,750800
2020/1/14,204,210,200,206,199.408005,1106300
2020/1/15,202,214,200,206,199.408005,5058200
2020/1/16,206,214,206,214,207.151993,1301100
2020/1/17,214,226,214,222,214.895996,2567400
2020/1/20,226,226,214,220,212.959991,1788400
2020/1/21,220,244,216,238,230.384003,3092400
2020/1/22,240,244,234,244,236.192001,1810600
2020/1/23,238,250,238,250,242,1162300
2020/1/24,250,272,250,268,259.424011,1058600
2020/1/27,270,272,262,264,255.552002,1797100
2020/1/28,264,276,260,276,267.167999,1006700
2020/1/29,280,282,272,278,269.104004,310400
2020/1/30,274,290,250,260,251.679993,8514600
2020/1/31,262,268,240,262,253.615997,2164600
2020/2/3,262,278,262,276,267.167999,638100
2020/2/4,276,284,274,280,271.040009,1791300
2020/2/5,280,286,278,280,271.040009,1771600
2020/2/6,280,282,272,280,271.040009,1474500
2020/2/7,280,280,270,270,261.359985,843200
2020/2/10,272,272,256,260,251.679993,1446200
2020/2/11,260,260,252,252,243.936005,506500
2020/2/12,252,254,246,252,243.936005,616800
2020/2/13,252,254,248,248,240.063995,152100
2020/2/14,250,252,244,250,242,1196400
2020/2/17,250,250,246,250,242,303700
2020/2/18,250,254,242,252,243.936005,908000
